Ticker,Summary,Label,Confidence,URL
GME,Rob Khazzam bought shares in struggling video game retailer in 2017.,POSITIVE,0.6601110696792603,https://ca.finance.yahoo.com/news/market-lessons-what-gamestop-flop-teach-investing-strategy-143742509.html
GME,Fresh estimate for second-quarter GDP came in unchanged at 2.1%.,NEGATIVE,0.9919314980506897,https://finance.yahoo.com/news/stocks-rise-as-oil-bond-yields-finally-take-a-breather-stock-market-news-today-200406227.html
GME,Tech-heavy Nasdaq leads way to start new quarter higher. ISM Manufacturing Index for September comes in stronger than expected,POSITIVE,0.7117865681648254,https://finance.yahoo.com/news/nasdaq-rises-dow-falls-in-seesaw-start-to-q4-stock-market-news-today-200428762.html
GME,Relative Strength Index (RSI) reading for GME is 29.62.,NEGATIVE,0.8664737343788147,https://finance.yahoo.com/news/down-19-41-4-weeks-133506409.html
GME,A crypto project on the Ethereum Chain aims to shake up the financial system. Community comes together for the first time to film a movie,POSITIVE,0.9736675024032593,https://finance.yahoo.com/news/introducing-dumb-money-game-changing-220000035.html
GME,New anesthesiology residency program is accredited by the Accreditation Council for Graduate Medical Education.,POSITIVE,0.9923668503761292,https://finance.yahoo.com/news/usf-health-tampa-general-again-123000669.html
GME,Glassdoor ranks the 20 highest-paying countries for doctors. Community Health Systems has improved patient outcomes by implementing a remote patient monitoring program,POSITIVE,0.9948858618736267,https://finance.yahoo.com/news/20-highest-paying-countries-doctors-141147787.html
GME,All images are copyrighted.,NEGATIVE,0.9880996346473694,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BGME%26tbm%3Dnws%26pccc%3D1
GME,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/video/gamestop-stock-rises-ryan-cohen-140155496.html
GME,Video game retailer reported better-than-expected results in second quarter. Shares of the company have lost about 22.1% in the past month,NEGATIVE,0.9992434978485107,https://finance.yahoo.com/news/why-gamestop-gme-down-22-153004926.html
GME,"GME Hydro to purchase, install and operate two G-Reformer® units. Hydrogen produced will be sold to offset operating costs",NEGATIVE,0.9839251041412354,https://finance.yahoo.com/news/gwti-inks-letter-intent-gme-131500800.html
TSLA,Wall Street expects lower profitability due to cost-cutting efforts. CEO Musk sees challenges in reaching volume production of the Cybertruck,NEGATIVE,0.9985221028327942,https://finance.yahoo.com/news/tesla-q3-earnings-140032243.html
TSLA,All images are copyrighted.,NEGATIVE,0.9880996346473694,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BTSLA%26tbm%3Dnws%26pccc%3D1
TSLA,EV maker says Justice Department has been requesting documents. Justice Department has been asking for information for months,NEGATIVE,0.9826707243919373,https://finance.yahoo.com/news/the-road-ahead-gets-bumpier-for-tesla-as-doj-deepens-scrutiny-183208771.html
TSLA,"Bank of America, Goldman Sachs to report third-quarter results. Tesla, Netflix and other tech companies to report results",NEGATIVE,0.9354450106620789,https://finance.yahoo.com/news/tesla-netflix-and-banks-highlight-earnings-rush-the-week-ahead-140003751.html
TSLA,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/video/musk-turned-little-baby-tesla-173731640.html
TSLA,Carmaker says high rates are a concern; China outlook ‘challenging’. Musk had warned last week that high rates were a problem,NEGATIVE,0.944806694984436,https://finance.yahoo.com/news/porsche-joins-tesla-in-warning-about-high-rates-181123085.html
TSLA,Tesla still has a wide lead in the domestic EV market ahead of Ford.,POSITIVE,0.9996185302734375,https://finance.yahoo.com/news/time-buy-recent-dip-teslas-005400771.html
TSLA,Direxion Daily TSLA Bull 1.5X Shares ETF seen net inflows of $24.9 million. Tesla was also most-bought stock among retail traders on Thursday,POSITIVE,0.637374997138977,https://finance.yahoo.com/news/dip-buyers-flock-tesla-bull-191150092.html
TSLA,"EV maker’s Q3 earnings missed estimates by 10%. ‘Elon is a troubleshooter,’ says legendary investor Cathie Wood",NEGATIVE,0.9897423982620239,https://finance.yahoo.com/news/elon-musk-lost-fortune-tesla-113844160.html
TSLA,Tesla’s new truck model to be launched next month. Share price has been underperforming so far in October,NEGATIVE,0.9946118593215942,https://uk.finance.yahoo.com/news/tesla-stock-almost-50-off-063500435.html
TSLA,"EV maker reported weaker-than-expected third quarter results. Paffrath said Musk acted like a ""little baby"" on the call",NEGATIVE,0.9997205138206482,https://finance.yahoo.com/news/elon-musk-acted-little-baby-160535804.html
BTC,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://finance.yahoo.com/video/spot-bitcoin-etf-could-mean-204307210.html
